tournament,n_matches,brier,log_loss,rps,outcome_accuracy
2022 World Cup,64,0.6467754803602513,1.075373813561399,0.23048350410312304,0.453125
Euro 2024,51,0.6089488051465448,1.0171912058008135,0.1921057438229532,0.5098039215686274
Copa America 2024,32,0.553431281735461,0.931376435619403,0.17780184384815823,0.5625
2018 World Cup,128,0.6074362754598928,1.0168083495744988,0.2177257805576764,0.5078125
Euro 2020,102,0.5753812279562686,0.9687615034772945,0.1880641602893768,0.5196078431372549
