date,group,match,score,ph,pd,pa,pred_outcome,actual_outcome,correct_outcome,lambda_h,lambda_a,top_score,actual_top_match,brier,log_loss
2026-06-11,,Mexico vs South Africa,2-0,0.3498677318485327,0.32770059091838144,0.3224306609865866,H,H,True,0.9297567167466446,0.8794514857610712,0-0,False,0.6340211745242749,1.0502001049284733
2026-06-11,,South Korea vs Czech Republic,2-1,0.46964835630405344,0.2447191500734947,0.285575619469881,H,H,True,1.6269592505714907,1.2154895040212026,1-1,False,0.4227137628192922,0.755771042379413
2026-06-12,,Canada vs Bosnia and Herzegovina,1-1,0.6088875283238966,0.2284248074432027,0.1625861357852514,H,D,False,1.780823198724203,0.7921597061284742,1-0,False,0.992506551467023,1.4765481930738278
2026-06-12,,United States vs Paraguay,4-1,0.5158035453605735,0.2680828424244023,0.2160923139018704,H,H,True,1.4471588032054536,0.8322037738165347,1-0,False,0.3530105052152016,0.6620293120405363
2026-06-13,,Qatar vs Switzerland,1-1,0.23227054778569492,0.2234857547394109,0.5440780972160808,A,D,False,1.1664439515806762,1.8972529247404293,1-1,True,0.9529449563315603,1.498407604143658
2026-06-13,,Brazil vs Morocco,1-1,0.16943993582684425,0.29769796662915,0.5328548695260291,A,D,False,0.5750124237388595,1.2615735910397832,0-1,False,0.8058723499074372,1.2116758412519557
2026-06-13,,Haiti vs Scotland,0-1,0.5423555484004133,0.2104542232884651,0.2468524484422372,H,A,False,2.0889870042239593,1.3590994329764774,2-1,False,0.9056717553981172,1.398964495581318
2026-06-13,,Australia vs Turkey,2-0,0.49239147624394475,0.24771472463282102,0.25984301650860564,H,H,True,1.613336950332413,1.101900668967921,1-1,False,0.3865473914180076,0.7084811954554128
2026-06-13,,Germany vs Curaçao,7-1,0.5182371610677514,0.21086060053855127,0.27055304320580753,H,H,True,2.0893226206617443,1.4718579843622883,2-1,False,0.34975657502346175,0.6573223016002272
2026-06-14,,Netherlands vs Japan,2-2,0.24953560778341174,0.2340010140893743,0.5163631134045774,A,D,False,1.159924471025731,1.7692213254506108,1-1,False,0.9156533308528123,1.4524298299185514
2026-06-14,,Ivory Coast vs Ecuador,1-0,0.43495673756694286,0.3533789161472862,0.21166356382421636,H,H,True,0.9547402429165703,0.568613473625436,0-0,False,0.48895201104919156,0.8325087067084138
2026-06-14,,Sweden vs Tunisia,5-1,0.2717108015374813,0.2643165071498437,0.46395042184158947,A,H,False,1.039223807755359,1.444336304856182,1-1,False,0.8155183664760602,1.303017007957353
2026-06-14,,Spain vs Cape Verde,0-0,0.6517826586284403,0.2119636120661609,0.13608635843011352,H,D,False,1.9060342754895547,0.7322862723719742,1-0,False,1.0643414797473396,1.551340660239515
2026-06-15,,Belgium vs Egypt,1-1,0.4172345376959629,0.2919097620183755,0.29085001537531463,H,D,False,1.202119726421721,0.9525076108405481,1-0,False,0.7600701760150582,1.2313105586584043
2026-06-15,,Saudi Arabia vs Uruguay,1-1,0.2484609613216618,0.3393871388609612,0.4121509105266962,A,D,False,0.686266458165371,0.9779664858029523,0-0,False,0.668010574651176,1.0806138206508482
2026-06-15,,Iran vs New Zealand,2-2,0.5240814560829817,0.24199279861445874,0.23385813356896168,H,D,False,1.6816943964742646,1.0388487488100482,1-1,False,0.9039259165987571,1.4188473110597153
